Fund,Fund Manager,Category,Sep-22,Dec-22,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24,classification
360 ONE Balanced Hybrid Fund Reg(G),Mayur Patel,HY-EQ,-,-,-,-,-,6.53,2.7,10.43,3.81,-1.42,Hybrid : Equity Oriented
360 ONE Dynamic Bond Fund Reg(G),Milan Mody,DT-DYN,1.59,1.52,1.15,2.41,1.28,1.78,3,1.58,3.44,1.22,Debt : Dynamic Bond
360 ONE ELSS Tax Saver Nifty 50 Index Fund Reg(G),Parijat Garg,EQ-ELSS,-,-,-4.39,10.84,2.45,10.64,2.77,7.92,7.68,-8.31,Equity : Tax Saving (ELSS)
360 ONE Flexicap Fund Reg(G),Mayur Patel,EQ-FLEX,-,-,-,-,5.83,12.47,3.9,20.28,7.59,-5.7,Equity : Flexi Cap
360 ONE Focused Equity Fund Reg(G),Mayur Patel,EQ-MLC,12.01,4.34,-1.63,13.58,5.6,10.02,3.82,14.47,5.94,-8.87,Equity : Multi Cap
360 ONE Liquid Fund Reg(G),Milan Mody,DT-LIQ,1.25,1.57,1.65,1.69,1.66,1.74,1.8,1.76,1.74,1.71,Debt : Liquid
360 ONE Quant Fund Reg(G),Parijat Garg,EQ-THEM,17.1,2.61,-4.39,19.63,7.62,17.62,9.28,13.32,9.8,-10.5,Equity : Thematic
Aditya Birla SL Active Debt Multi Mgr FoF(G),Kaustubh Gupta,FOF-DOM,1.36,1.47,1.63,1.87,1.51,1.66,2.02,1.73,2.94,0.7,FoFs : Domestic
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,0.82,1.35,1.66,1.76,1.92,1.61,2.06,1.87,1.63,1.77,Hybrid : Arbitrage
Aditya Birla SL Asset Allocator FoF(G),Vinod Narayan Bhat,FOF-DOM,5.18,2.55,-1.27,7.61,6.11,9.16,3.88,10.1,6.13,-3.83,FoFs : Domestic
Aditya Birla SL Bal Bhavishya Yojna Reg(G),Chanchal Khandelwal,HY-SOL,10.39,2.84,-6.32,14.19,6.65,7.51,2.19,11.76,7.72,-7.07,Hybrid : Solution Oriented
Aditya Birla SL Balanced Advantage Fund(G),Harish krishnan,HY-DYN,5.89,3.13,-1.53,7.92,3.14,6.33,2.84,7.81,6.33,-4.15,Hybrid : Dynamic Asset Allocation
Aditya Birla SL Banking & Financial Services Fund Reg(G),Dhaval Gala,EQ-FIN,16.52,8,-7.17,16.98,6.58,5.19,-0.59,12.01,4.93,-6.94,Equity : Sectoral - Financial Services
Aditya Birla SL Banking & PSU Debt(G),Kaustubh Gupta,DT-B&PSU,1.31,1.53,1.63,1.97,1.43,1.66,2,1.71,2.41,1.53,Debt : Banking & PSU
Aditya Birla SL BSE Sensex ETF,Priya Sridhar,EQ-ETF,8.6,6.12,-2.89,10.36,2.1,9.93,2.08,7.9,6.93,-7.16,Equity : ETFs
Aditya Birla SL Business Cycle Fund Reg(G),Harish krishnan,EQ-THEM,10.83,4.99,-5.6,10.36,4.38,9.61,3.67,12.45,8.61,-6.48,Equity : Thematic
Aditya Birla SL Corp Bond Fund(G),Kaustubh Gupta,DT-CORP,1.66,1.7,1.74,2.01,1.66,1.69,2.22,1.82,2.65,1.6,Debt : Corporate Bond
Aditya Birla SL Credit Risk Fund Reg(G),Sunaina da Cunha,DT-CR,4.04,1.71,1.58,2.05,1.49,1.6,2.01,2.4,2.93,4.09,Debt : Credit Risk
Aditya Birla SL CRISIL 10 Year Gilt ETF,Bhupesh Bameta,DT-ETF,-,-,-,-,-,-,-,-,-,1.31,Debt : ETFs
Aditya Birla SL CRISIL Broad Based Gilt ETF,Kaustubh Gupta,DT-ETF,-,-,-,-,-,-,-,-,-,1.02,Debt : ETFs
